Name,Team,IP,vFA,vFC,vFS,vSI,vCH,vSL,vCU,vCS,vKN,vSB
Tanner Banks,CHW,61,92.9,,,91.5,86.4,84.7,,,,
Sonny Gray,MIN,184,92.8,88.4,,92.8,87.8,84.8,79.6,,,
Brandon Williamson,CIN,117,92.8,89.2,,91.9,84,81.8,73.2,,,
Cristian Javier,HOU,162,92.8,,,,83.7,79.6,76.6,,,
Daniel Lynch IV,KCR,52.1,92.8,87.7,,92.6,84.3,80.8,,,,
Trevor Richards,TOR,72.2,92.8,,,,82.5,,,,,
Connor Seabold,COL,87.1,92.8,,,,80.7,85.5,78.7,,,
Brad Hand,2 Tms,53.2,92.8,,,92.9,,81,,,,
Eli Morgan,CLE,67.1,92.7,,,,78.8,85.6,,,,
Xzavion Curry,CLE,95,92.7,,,,87.9,85.2,75.2,,,
Quinn Priester,PIT,50,92.7,,,93.5,89.1,85.2,80.5,,,
Hogan Harris,OAK,63,92.7,90.5,,,80.2,77.4,74.2,,,
Logan Webb,SFG,216,92.7,87.6,,92.3,87.4,84.3,,,,
Colin Poche,TBR,60.2,92.7,,,,,84.7,,,,
Tyler Wells,BAL,118.2,92.7,88.8,,,85.5,84.1,74.2,,,
Lance Lynn,2 Tms,183.2,92.6,88.8,,91.5,85,81,83.1,,,
Andrew Abbott,CIN,109.1,92.6,,,92.4,86.5,82.8,80.8,,,
Tony Gonsolin,LAD,103,92.6,,83.1,,,86.8,81,,,
James Kaprielian,OAK,61,92.5,,,92.4,83.5,81.1,76.3,,,
Andrew Heaney,TEX,147.1,92.5,,,,84,81.9,,,,
Brady Singer,KCR,159.2,92.5,,,92.3,88,84.2,,,,
Chris Bassitt,TOR,200,92.5,88,82.7,92,84.1,75.8,70.7,,,
Domingo Germán,NYY,108.2,92.4,,,92.5,85.9,,83,,,
Ross Stripling,SFG,89,92.4,,,90.4,83.7,87.1,75.9,,,
Jose Cuas,2 Tms,65.1,92.4,,,92.9,87.8,82.6,,,,
Will Smith,TEX,57.1,92.4,,,,86.6,81.1,77.1,,,
Dylan Floro,2 Tms,56.2,92.3,,,92.7,85.6,84.1,,,,
Noah Syndergaard,2 Tms,88.2,92.3,89.8,,92.4,87.4,85,78.1,,,
Merrill Kelly,ARI,177.2,92.3,90.9,,92.3,88.7,85.6,82.2,,,
Nick Sandlin,CLE,60,92.3,,,92.5,86.1,79.3,,,,
Brandon Bielak,HOU,80,92.3,92.1,,92.1,87.1,82.1,79.5,,,
Eduardo Rodriguez,DET,152.2,92.3,88.9,,92.4,86,84.7,,,,
Michael Wacha,SDP,134.1,92.3,87.2,,92.1,81.9,,74.3,,,
Cole Irvin,BAL,77.1,92.3,85.5,,92,84.2,77.2,76.1,,,
Joe Ryan,MIN,161.2,92.3,,83.6,,85.5,80.4,75.3,,,
Paul Sewald,2 Tms,60.2,92.3,,,,,84,,,,
Kyle Gibson,BAL,192,92.2,89.9,,92,85.6,81.7,79.5,,,
Marcus Stroman,CHC,136.2,92.2,89.9,,91.6,86.7,85.1,,,,
Andrew Chafin,2 Tms,51.1,92.2,,,92.3,86.4,83.5,,,,
Tom Cosgrove,SDP,51.1,92.1,,,91.3,85.2,76.3,,,,
Johnny Cueto,MIA,52.1,92.1,87.7,,92.1,84,86,75.8,,,
Martín Pérez,TEX,141.2,92.1,89.2,,91.7,84.2,83.6,79,,,
Kyle Nelson,ARI,56,92.1,88.1,,,,85.4,,,,
Chris Flexen,2 Tms,102.1,92.1,88.1,,90.9,81.1,80.9,71.6,,,
Erasmo Ramírez,2 Tms,60.1,92,88.8,,91.6,84.1,81.2,79.8,,,
Paul Blackburn,OAK,103.2,92,88.9,,91.7,85.9,80.8,79.1,,,
Aaron Civale,2 Tms,122.1,91.9,87.8,,92.4,85.3,82.6,78.2,,,
Patrick Corbin,WSN,180,91.8,,,92.2,81.3,80.5,,,,
Kevin Kelly,TBR,67,91.8,87.1,,90.7,,76.4,,,,
Josh Fleming,TBR,51.2,91.7,,,90.5,83.1,76.8,,,,
Nestor Cortes,NYY,63.1,91.7,86.7,,,83.5,77,,,,
Matthew Boyd,DET,71,91.6,,,91,80.4,79.8,74,,,
Shane Bieber,CLE,128,91.6,86.9,,89.9,87.4,85.1,82.8,,,
Tyler Holton,DET,85.1,91.6,87.9,,91.2,83,81.7,78.4,,,
Logan Allen,CLE,125.1,91.6,85.8,,,82.8,78.9,,,,
Jared Shuster,ATL,52.2,91.5,,,,82.3,85.1,,,,
Alex Young,CIN,53.2,91.5,,,90.7,85.9,81.7,,,,
Tucker Davidson,2 Tms,51.1,91.4,,82.6,90.4,,83.8,,,,
Mark Leiter Jr.,CHC,64.1,91.4,88.9,84.8,91.5,,83.8,73.6,,,
Jordan Lyles,KCR,177.2,91.4,86.8,,90.6,85.6,80.3,79.6,,,
Bailey Ober,MIN,144.1,91.4,,,,83.7,81.1,77.5,,,
Danny Coulombe,BAL,51.1,91.4,,,91.1,77.1,84.9,80.1,,,
Collin McHugh,ATL,58.2,91.3,89,,,84.7,79.9,73.7,63.2,,
Mason Englert,DET,56,91.3,,,,83.8,84.5,80.9,,,
Dakota Hudson,STL,81.1,91.3,85.4,,91.8,84.5,81.6,,,,
Kenta Maeda,MIN,104.1,91,82.5,84.1,90.3,,81.6,76.4,,,
Ben Lively,CIN,88.2,90.9,88.5,,91.5,84.5,80.3,76.5,,,
Bailey Falter,2 Tms,80.2,90.9,,,91.1,85,84.5,76.6,,,
Bryce Elder,ATL,174.2,90.9,,,89.6,85.1,82.8,,,,
Clayton Kershaw,LAD,131.2,90.9,,84.2,90.9,86.5,86.7,73.5,,,
Austin Gomber,COL,139,90.8,,,90.5,81.9,85,77.8,,,
Braxton Garrett,MIA,159.2,90.8,87.5,,90.5,84.1,82.9,77.8,,,
Dane Dunning,TEX,172.2,90.7,88.9,,90.9,85.6,82,77.6,,,
Tommy Henry,ARI,89,90.7,,,,84,83.2,79.1,,,
Wade Miley,MIL,120.1,90.5,87.1,,90.5,83.8,79.1,75.9,,,
Jose Quintana,NYM,75.2,90.4,,,90.6,86.1,,77.4,,,
Cody Bradford,TEX,56,90.3,86.3,,,82,82.3,,,,
Brooks Raley,NYM,54.2,90.2,87,,90.1,84.9,81.7,,,,
Tyler Anderson,LAA,141,90.2,85.1,,88.5,80,80.5,72.8,,,
Brennan Bernardino,BOS,50.2,90,,,91,82.8,77.7,,,,
Trevor Williams,WSN,144.1,89.8,,,88.4,83.4,81,76.9,,,
Zack Greinke,KCR,142.1,89.7,85.6,,89.9,86.6,79.4,72.7,58,,
Ty Blach,COL,78,89.5,,,,80,83.8,79.1,,,
Marco Gonzales,SEA,50,89.3,86,,89.1,80.1,,79.5,,,
Zach Davies,ARI,82.1,89.3,87.5,,89.6,80.7,80.9,77,,,
Julio Teheran,MIL,71.2,89.2,86.6,,89.9,83.3,77.4,,,,
Kyle Freeland,COL,155.2,89,,,88.9,84.4,84.3,80.8,,,
Hoby Milner,MIL,64.1,89,,,88.3,81.1,,79.7,,,
Hyun Jin Ryu,TOR,52,88.8,85.2,,87.6,78.1,,68.9,,,
Corey Kluber,BOS,55,88.5,86.4,,88.5,82.5,80.8,,,,
Rich Hill,2 Tms,146.1,88.4,83.3,82.8,86,82.8,71.3,71.9,64.5,,
Kyle Hendricks,CHC,137,87.8,,,87.5,80.7,,73.4,,,
Ryan Yarbrough,2 Tms,89.2,87.1,84.3,,,78.6,72,,,,
Adam Wainwright,STL,101,85.9,83.1,,87.1,81.7,76,71.8,63.1,,
David Robertson,2 Tms,65.1,,93.4,,93.8,87.9,85.1,84.5,,,
Michael Tonkin,ATL,80,,,,93.6,,83.1,,,,
Drew Smyly,CHC,142.1,,88.6,,92.1,,,78.8,,,
Steven Matz,STL,105,,,,94.3,84.3,89.2,78.6,,,
Taylor Rogers,SFG,51.2,,88.1,,93.5,,79.4,,,,
Alex Wood,SFG,97.2,,,,91.5,85.2,82.4,,,,
Brent Suter,COL,69.1,,86.2,,88.3,76.3,76.8,,,,
Josh Hader,SDP,56.1,,,,96.3,88.6,85.9,,,,
Tim Mayza,TOR,53.1,,,,93.4,,86.3,,,,
Justin Topa,SEA,69,,92.5,,95.1,86.8,82.9,,,,
Tyler Rogers,SFG,74,,,,82.8,,72.9,,,,
Justin Steele,CHC,173.1,,92,,91.9,87.6,83.4,81.2,,,
Justin Lawrence,COL,75,,,,95.5,80.2,84,,,,
Phil Maton,HOU,66,,89.1,,88.4,,79.6,73.8,,,
Clarke Schmidt,NYY,159,,91.5,,93.6,89.6,86.2,83.8,,,
Garrett Whitlock,BOS,71.2,,,,94.2,82.9,79.8,,,,
Ryan Walker,SFG,61.1,,,,94.8,,83.2,,,,
Cristopher Sánchez,PHI,99.1,,,,92.3,82,82.9,,,,
Adrián Martínez,OAK,55,,,,94,82.8,83.4,,,,
Emmanuel Clase,CLE,72.2,,99.3,,98.7,,91.3,,,,
